,경매구분코드,경매구분코드명,도매시장법인코드,산지코드,산지명2,경락일자,거래량,도매시장법인명,거래가격,출하구분코드,출하구분명,일련번호,포장상태코드,포장상태명,산지명,등급코드,품종명,거래규격단위코드,거래단위명,도매시장코드,도매시장명,경매시간
78094,1,경매,21000102,627000,경상남도 밀양시,20200302,100,부산청과,1160,3.0,개별,02,111,단,경상남도 밀양시,13,대파(일반),12,kg,210001,부산엄궁도매시장,
78111,2,정가수의,21000102,600000,부산광역시 중구,20200302,800,부산청과,1500,3.0,개별,01,111,단,부산광역시 중구,13,대파(일반),12,kg,210001,부산엄궁도매시장,
78110,2,정가수의,21000102,600000,부산광역시 중구,20200302,50,부산청과,1500,3.0,개별,03,111,단,부산광역시 중구,13,대파(일반),12,kg,210001,부산엄궁도매시장,
78109,1,경매,21000102,621000,경상남도 김해시,20200302,14,부산청과,3100,2.0,계통,04,103,PE대,경상남도 김해시,13,대파(일반),12,kg,210001,부산엄궁도매시장,
78107,1,경매,21000102,621000,경상남도 김해시,20200302,100,부산청과,870,2.0,계통,02,111,단,경상남도 김해시,13,대파(일반),12,kg,210001,부산엄궁도매시장,
78106,1,경매,21000102,621000,경상남도 김해시,20200302,100,부산청과,870,2.0,계통,01,111,단,경상남도 김해시,13,대파(일반),12,kg,210001,부산엄궁도매시장,
78105,1,경매,21000102,600000,부산광역시 중구,20200302,194,부산청과,1050,3.0,개별,01,111,단,부산광역시 중구,13,대파(일반),12,kg,210001,부산엄궁도매시장,
78104,1,경매,21000102,535000,전라남도 신안군,20200302,250,부산청과,900,3.0,개별,06,111,단,전라남도 신안군,13,대파(일반),12,kg,210001,부산엄궁도매시장,
78103,1,경매,21000102,535000,전라남도 신안군,20200302,250,부산청과,900,3.0,개별,05,111,단,전라남도 신안군,13,대파(일반),12,kg,210001,부산엄궁도매시장,
78102,1,경매,21000102,535000,전라남도 신안군,20200302,100,부산청과,900,3.0,개별,04,111,단,전라남도 신안군,13,대파(일반),12,kg,210001,부산엄궁도매시장,
78101,1,경매,21000102,535000,전라남도 신안군,20200302,150,부산청과,900,3.0,개별,03,111,단,전라남도 신안군,13,대파(일반),12,kg,210001,부산엄궁도매시장,
78100,1,경매,21000102,535000,전라남도 신안군,20200302,250,부산청과,900,3.0,개별,02,111,단,전라남도 신안군,13,대파(일반),12,kg,210001,부산엄궁도매시장,
78099,1,경매,21000102,535000,전라남도 신안군,20200302,150,부산청과,910,3.0,개별,01,111,단,전라남도 신안군,13,대파(일반),12,kg,210001,부산엄궁도매시장,
78098,1,경매,21000102,627000,경상남도 밀양시,20200302,162,부산청과,1180,3.0,개별,06,111,단,경상남도 밀양시,13,대파(일반),12,kg,210001,부산엄궁도매시장,
78097,1,경매,21000102,627000,경상남도 밀양시,20200302,100,부산청과,1170,3.0,개별,05,111,단,경상남도 밀양시,13,대파(일반),12,kg,210001,부산엄궁도매시장,
78096,1,경매,21000102,627000,경상남도 밀양시,20200302,100,부산청과,1170,3.0,개별,04,111,단,경상남도 밀양시,13,대파(일반),12,kg,210001,부산엄궁도매시장,
78095,1,경매,21000102,627000,경상남도 밀양시,20200302,100,부산청과,1160,3.0,개별,03,111,단,경상남도 밀양시,13,대파(일반),12,kg,210001,부산엄궁도매시장,
78839,1,경매,25000301,536000,전라남도 해남군,20200302,50,대전중앙청과,1400,4.0,상인,693,111,단,전라남도 해남군,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78758,1,경매,25000102,535000,전라남도 신안군,20200302,250,대전청과(주),1250,2.0,계통,850700,111,단,전라남도 신안군,1Z,대파(일반),12,kg,250001,대전오정도매시장,
78798,1,경매,25000301,535000,전라남도 신안군,20200302,150,대전중앙청과,770,3.0,개별,16,111,단,전라남도 신안군,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78760,1,경매,25000102,535000,전라남도 신안군,20200302,268,대전청과(주),1230,2.0,계통,851000,111,단,전라남도 신안군,1Z,대파(일반),12,kg,250001,대전오정도매시장,
78833,1,경매,25000301,539000,전라남도 진도군,20200302,100,대전중앙청과,1950,1.0,협동,681,111,단,전라남도 진도군,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78834,1,경매,25000301,539000,전라남도 진도군,20200302,250,대전중앙청과,750,1.0,협동,682,111,단,전라남도 진도군,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78835,1,경매,25000301,539000,전라남도 진도군,20200302,250,대전중앙청과,750,1.0,협동,683,111,단,전라남도 진도군,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78836,1,경매,25000301,536000,전라남도 해남군,20200302,250,대전중앙청과,700,4.0,상인,690,111,단,전라남도 해남군,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78819,1,경매,25000301,535000,전라남도 신안군,20200302,150,대전중앙청과,2550,1.0,협동,40,111,단,전라남도 신안군,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78817,1,경매,25000301,320000,충청남도 논산시,20200302,30,대전중앙청과,1200,1.0,협동,38,111,단,충청남도 논산시,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78816,1,경매,25000301,320000,충청남도 논산시,20200302,95,대전중앙청과,1300,1.0,협동,37,111,단,충청남도 논산시,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78799,1,경매,25000301,356000,충청남도 서산시,20200302,150,대전중앙청과,1300,3.0,개별,17,107,파렛트,충청남도 서산시,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78800,1,경매,25000301,356000,충청남도 서산시,20200302,110,대전중앙청과,1300,3.0,개별,18,107,파렛트,충청남도 서산시,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78801,1,경매,25000301,356000,충청남도 서산시,20200302,116,대전중앙청과,1340,3.0,개별,19,111,단,충청남도 서산시,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78802,1,경매,25000301,356000,충청남도 서산시,20200302,100,대전중앙청과,1300,3.0,개별,20,111,단,충청남도 서산시,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78803,1,경매,25000301,356000,충청남도 서산시,20200302,100,대전중앙청과,1330,3.0,개별,21,111,단,충청남도 서산시,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78804,1,경매,25000301,356000,충청남도 서산시,20200302,150,대전중앙청과,1300,3.0,개별,22,111,단,충청남도 서산시,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78805,1,경매,25000301,565000,전라북도 완주군,20200302,100,대전중앙청과,2700,1.0,협동,26,111,단,전라북도 완주군,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78806,1,경매,25000301,565000,전라북도 완주군,20200302,100,대전중앙청과,2800,1.0,협동,27,111,단,전라북도 완주군,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78807,1,경매,25000301,565000,전라북도 완주군,20200302,8,대전중앙청과,1770,1.0,협동,28,111,단,전라북도 완주군,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78808,1,경매,25000301,539000,전라남도 진도군,20200302,300,대전중앙청과,1560,4.0,상인,29,111,단,전라남도 진도군,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78809,1,경매,25000301,539000,전라남도 진도군,20200302,300,대전중앙청과,1600,4.0,상인,30,111,단,전라남도 진도군,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78810,1,경매,25000301,570000,전라북도 익산시,20200302,200,대전중앙청과,1160,3.0,개별,31,111,단,전라북도 익산시,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78811,1,경매,25000301,570000,전라북도 익산시,20200302,206,대전중앙청과,1050,3.0,개별,32,111,단,전라북도 익산시,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78812,1,경매,25000301,539000,전라남도 진도군,20200302,110,대전중앙청과,1350,3.0,개별,33,111,단,전라남도 진도군,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78813,1,경매,25000301,535000,전라남도 신안군,20200302,100,대전중앙청과,2330,1.0,협동,34,111,단,전라남도 신안군,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78077,1,경매,21000101,621890,,20200302,200,농협부산(공),820,3.0,개별,00040,111,단,경상남도 김해시,12,대파(일반),12,kg,210001,부산엄궁도매시장,
78814,1,경매,25000301,535000,전라남도 신안군,20200302,250,대전중앙청과,1450,1.0,협동,35,111,단,전라남도 신안군,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78815,1,경매,25000301,535000,전라남도 신안군,20200302,250,대전중앙청과,1400,1.0,협동,36,111,단,전라남도 신안군,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78832,1,경매,25000301,539000,전라남도 진도군,20200302,100,대전중앙청과,1930,1.0,협동,680,111,단,전라남도 진도군,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78759,1,경매,25000102,535000,전라남도 신안군,20200302,250,대전청과(주),1270,2.0,계통,850800,111,단,전라남도 신안군,1Z,대파(일반),12,kg,250001,대전오정도매시장,
78831,1,경매,25000301,539000,전라남도 진도군,20200302,100,대전중앙청과,1960,1.0,협동,679,111,단,전라남도 진도군,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78829,1,경매,25000301,539000,전라남도 진도군,20200302,200,대전중앙청과,1100,1.0,협동,677,111,단,전라남도 진도군,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78761,1,경매,25000102,535000,전라남도 신안군,20200302,270,대전청과(주),1230,2.0,계통,851100,111,단,전라남도 신안군,1Z,대파(일반),12,kg,250001,대전오정도매시장,
78762,1,경매,25000102,535000,전라남도 신안군,20200302,270,대전청과(주),1230,2.0,계통,851200,111,단,전라남도 신안군,1Z,대파(일반),12,kg,250001,대전오정도매시장,
78763,1,경매,25000102,535000,전라남도 신안군,20200302,270,대전청과(주),1230,2.0,계통,851300,111,단,전라남도 신안군,1Z,대파(일반),12,kg,250001,대전오정도매시장,
78764,1,경매,25000102,535000,전라남도 신안군,20200302,268,대전청과(주),1230,2.0,계통,851400,111,단,전라남도 신안군,1Z,대파(일반),12,kg,250001,대전오정도매시장,
78765,1,경매,25000102,539000,전라남도 진도군,20200302,320,대전청과(주),1360,4.0,상인,851600,111,단,전라남도 진도군,1Z,대파(일반),12,kg,250001,대전오정도매시장,
78766,1,경매,25000102,539000,전라남도 진도군,20200302,300,대전청과(주),1360,4.0,상인,851700,111,단,전라남도 진도군,1Z,대파(일반),12,kg,250001,대전오정도매시장,
78767,1,경매,25000102,539000,전라남도 진도군,20200302,300,대전청과(주),1370,4.0,상인,851800,111,단,전라남도 진도군,1Z,대파(일반),12,kg,250001,대전오정도매시장,
78768,1,경매,25000102,539000,전라남도 진도군,20200302,300,대전청과(주),1360,4.0,상인,851900,111,단,전라남도 진도군,1Z,대파(일반),12,kg,250001,대전오정도매시장,
78769,1,경매,25000102,360000,충청북도 청주시,20200302,83,대전청과(주),2500,3.0,개별,852100,108,봉지,충청북도 청주시,1Z,대파(일반),12,kg,250001,대전오정도매시장,
78770,1,경매,25000102,360000,충청북도 청주시,20200302,82,대전청과(주),2500,3.0,개별,852200,108,봉지,충청북도 청주시,1Z,대파(일반),12,kg,250001,대전오정도매시장,
78771,1,경매,25000102,360000,충청북도 청주시,20200302,41,대전청과(주),2000,3.0,개별,852300,108,봉지,충청북도 청주시,1Z,대파(일반),12,kg,250001,대전오정도매시장,
78772,1,경매,25000102,539000,전라남도 진도군,20200302,240,대전청과(주),1770,4.0,상인,852600,111,단,전라남도 진도군,1Z,대파(일반),12,kg,250001,대전오정도매시장,
78795,1,경매,25000301,535000,전라남도 신안군,20200302,100,대전중앙청과,1700,3.0,개별,13,111,단,전라남도 신안군,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78796,1,경매,25000301,535000,전라남도 신안군,20200302,100,대전중앙청과,1500,3.0,개별,14,111,단,전라남도 신안군,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78797,1,경매,25000301,535000,전라남도 신안군,20200302,150,대전중앙청과,770,3.0,개별,15,111,단,전라남도 신안군,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78818,1,경매,25000301,535000,전라남도 신안군,20200302,157,대전중앙청과,2530,1.0,협동,39,111,단,전라남도 신안군,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78820,1,경매,25000301,539000,전라남도 진도군,20200302,150,대전중앙청과,2510,1.0,협동,41,111,단,전라남도 진도군,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78821,1,경매,25000301,539000,전라남도 진도군,20200302,150,대전중앙청과,2600,1.0,협동,42,111,단,전라남도 진도군,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78822,1,경매,25000301,539000,전라남도 진도군,20200302,150,대전중앙청과,2600,1.0,협동,43,111,단,전라남도 진도군,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78823,1,경매,25000301,536000,전라남도 해남군,20200302,36,대전중앙청과,10600,3.0,개별,86,101,상자,전라남도 해남군,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78824,1,경매,25000301,536000,전라남도 해남군,20200302,4,대전중앙청과,8000,3.0,개별,87,101,상자,전라남도 해남군,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78825,1,경매,25000301,355000,충청남도 보령시,20200302,10,대전중앙청과,12600,3.0,개별,88,101,상자,충청남도 보령시,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78826,1,경매,25000301,365800,,20200302,112,대전중앙청과,360,1.0,협동,89,111,단,충청북도 진천군,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78827,1,경매,25000301,320000,충청남도 논산시,20200302,20,대전중앙청과,3330,3.0,개별,253,111,단,충청남도 논산시,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78828,1,경매,25000301,539000,전라남도 진도군,20200302,200,대전중앙청과,1100,1.0,협동,676,111,단,전라남도 진도군,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78830,1,경매,25000301,539000,전라남도 진도군,20200302,100,대전중앙청과,1900,1.0,협동,678,111,단,전라남도 진도군,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78078,1,경매,21000101,621890,,20200302,82,농협부산(공),820,3.0,개별,00050,111,단,경상남도 김해시,12,대파(일반),12,kg,210001,부산엄궁도매시장,
78646,1,경매,24000403,539804,,20200302,65,호남청과,1300,3.0,개별,00001,107,파렛트,전라남도 진도군,11,깐대파,12,kg,240004,광주서부도매시장,2020-03-02 05:17:28
78080,1,경매,21000101,902000,부산광역시,20200302,150,농협부산(공),1050,2.0,계통,00020,111,단,부산광역시,12,대파(일반),12,kg,210001,부산엄궁도매시장,
78661,1,경매,25000101,363000,충청북도 청원군,20200302,50,농협대전(공),950,2.0,계통,00070,1ZZ,기타,충청북도 청주시,11,대파(일반),12,kg,250001,대전오정도매시장,
78662,1,경매,25000101,535000,전라남도 신안군,20200302,260,농협대전(공),1640,3.0,개별,00010,1ZZ,기타,전라남도 신안군,11,대파(일반),12,kg,250001,대전오정도매시장,
78663,1,경매,25000101,535000,전라남도 신안군,20200302,260,농협대전(공),1650,3.0,개별,00020,1ZZ,기타,전라남도 신안군,11,대파(일반),12,kg,250001,대전오정도매시장,
78664,1,경매,25000101,535000,전라남도 신안군,20200302,260,농협대전(공),1650,3.0,개별,00030,1ZZ,기타,전라남도 신안군,11,대파(일반),12,kg,250001,대전오정도매시장,
